origin_date_first,target_date,actual_first,persistence_first,arima_first,vs_first,actual_second,persistence_second,arima_second,vs_second,ensemble_second,actual_parity,parity_second
2024-08-11,2024-08-18,6.02,6.02,6.016624816075872,3.5143701457118537,6.02,6.02,6.016622288152674,6.030784389505322,6.020870918558468,6.02,6.010135081873777
2024-08-18,2024-08-25,6.02,6.02,6.02,3.5158500006352225,6.02,6.02,6.02,6.031170526085587,6.023351157825676,6.02,6.017193665727399
2024-08-25,2024-09-01,6.02,6.02,6.02,3.5254737254580597,6.02,6.02,6.02,6.030898645538149,6.023269593661444,6.02,6.020262226880373
2024-09-01,2024-09-08,6.03,6.02,6.02,3.5224593050151727,6.03,6.02,6.02,6.030201907860255,6.023060572358076,6.03,6.0210153325139
2024-09-08,2024-09-15,6.01,6.03,6.033375183924128,3.546040661657841,6.01,6.03,6.033377711847326,6.039241789866097,6.0351369352529565,6.01,6.014298205797115
2024-09-15,2024-09-22,6.01,6.01,6.003249632151745,2.164637376427742,6.01,6.01,6.003244576305349,6.018138633954971,6.007712793600235,6.01,6.001507964765844
2024-09-22,2024-09-29,6.01,6.01,6.01,3.455230081704328,6.01,6.01,6.01,6.019358469850125,6.012807540955038,6.01,6.015245744108193
2024-09-29,2024-10-06,6.01,6.01,6.01,3.538240718204587,6.01,6.01,6.01,6.018915622269415,6.012674686680824,6.01,6.005735727578597
2024-10-06,2024-10-13,6.02,6.01,6.01,3.3455373733555924,6.02,6.01,6.01,6.019322671701926,6.012796801510578,6.02,6.031323367169197
2024-10-13,2024-10-20,6.02,6.02,6.023375183924127,3.4774332714316025,6.02,6.02,6.023377711847325,6.029204395787079,6.02512571702925,6.02,6.0334142318744615
2024-10-20,2024-10-27,6.03,6.02,6.02,3.464437257725622,6.03,6.02,6.02,6.028616494360728,6.022584948308218,6.03,6.001620874465517
2024-10-27,2024-11-03,6.03,6.03,6.033375183924128,3.4904548781877383,6.03,6.03,6.033377711847326,6.038637432610041,6.03495562807614,6.03,6.043853383018683
2024-11-03,2024-11-10,6.05,6.03,6.03,3.519652786575817,6.05,6.03,6.03,6.037974104116244,6.032392231234873,6.05,6.03466315521626
2024-11-10,2024-11-17,6.05,6.05,6.056750367848255,3.527529063086863,6.05,6.05,6.056752100413939,6.058696377483648,6.057335383534851,6.05,6.054812758868127
2024-11-17,2024-11-24,6.06,6.05,6.05,3.570686695988483,6.06,6.05,6.05,6.0579388900626645,6.052381667018799,6.06,6.044154065792584
2024-11-24,2024-12-01,6.1,6.06,6.063375573108199,3.583239095042161,6.1,6.06,6.063376050206969,6.068192113243267,6.064820869117858,6.1,6.075458250649914
2024-12-01,2024-12-08,6.11,6.1,6.113502292432798,3.459320172407234,6.11,6.1,6.113504200827878,6.106983156844742,6.111547887632936,6.11,6.112613938153138
